x,Horizontal Ground Reaction Forces,Vertical Ground Reaction Forces
-0.0003,0.000382235,-0.6
0.0005,-1.4,-0.6
0.0013,-2.8,8.8
0.0027,-18.2,24.5
0.0038,-25.3,62.1
0.0048,-32.5,125.2
0.0062,-45.6,204.1
0.0072,-66.1,267.3
0.0086,-76.3,346.2
0.0091,-87.7,377.7
0.0102,-101.4,440.9
0.0113,-116.2,504
0.0115,-128.2,515.8
0.0123,-140.1,551.1
0.0129,-151.5,574.6
0.0142,-163.5,633.5
0.0153,-173.2,680.6
0.0169,-177.7,751.2
0.0196,-177.2,868.9
0.0209,-173.6,927.7
0.0217,-171.5,958.5
0.022,-170.3,968.7
0.0244,-160.1,960.2
0.0252,-156.7,957.3
0.0268,-149.8,922.9
0.0295,-140.7,865.5
0.0311,-134.5,831.1
0.0346,-129.3,756.5
0.0368,-125.9,710.5
0.0384,-120.2,676.1
0.0392,-116.1,658.9
0.0408,-107.7,637.5
0.0435,-97.3,601.9
0.0438,-96.3,600.2
0.0456,-82.6,588.3
0.0467,-69.9,581.4
0.047,-66.7,581.1
0.0494,-50.2,578.6
0.0499,-32,578
0.0518,-18.3,576
0.0532,-9,574.6
0.054,-3.5,572
0.0545,-0.08,570.3
0.0553,14.7,567.7
0.0569,30.7,557.5
0.0593,45.5,542.1
0.0607,52.8,533.6
0.0617,58.6,511.8
0.0644,71.1,457.4
0.0674,83.1,397.5
0.0693,91,359.4
0.0703,91.6,337.6
0.0733,93.3,292.4
0.0768,89.9,238.9
0.0779,81.9,222.4
0.08,76.2,189.5
0.083,67.7,126.9
0.0854,54.8,75.6
0.0856,53.4,73.4
0.0881,38.6,53.6
0.0897,22.7,40.3
0.0923,9,18.2
0.0937,2.1,7.2
0.094,1.7,5
0.0951,0.00583749,3.9
0.1007,-0.00209465,-1.2
0.1011,-0.00211063,-1.6
0.2027,-0.00614397,0.3
0.2044,-0.00621055,2.3
0.2046,-0.00649799,2.6
0.2058,-0.00821805,12.1
0.2073,-29.8,24.3
0.2075,-31.8,25.9
0.2091,-48.1,104.5
0.2102,-68.1,156.9
0.2118,-82.9,235.5
0.2129,-97.1,287.9
0.2148,-112.5,379.6
0.2156,-130.7,418.9
0.2169,-148.4,484.4
0.2185,-159.8,563
0.2212,-166,693.9
0.2217,-165.4,720.1
0.2244,-162.1,883.9
0.226,-156,982.1
0.2268,-153,982.7
0.2285,-141.6,983.8
0.2293,-136,984.4
0.2306,-126.8,950.1
0.233,-120.5,888.5
0.2392,-118.2,731
0.2397,-117.2,717.3
0.2432,-110.8,622.3
0.2454,-100.6,563.9
0.2459,-94.9,549.2
0.2464,-89.2,545.8
0.2494,-69.8,527
0.2507,-55.8,518.5
0.2532,-30.5,516.8
0.254,-18.1,516.2
0.255,-1.5,517.6
0.2558,-0.08,518.7
0.2574,20.1,520.8
0.2583,27,521.9
0.2596,38.4,517.8
0.2617,57.7,511.3
0.262,60.1,510.5
0.2639,77.1,492.2
0.2647,82,484.3
0.2663,91.9,445.6
0.2693,102.1,374.7
0.2744,101,252.2
0.2768,91.9,194.2
0.2781,86.9,161.9
0.2808,77.1,85.6
0.2821,65.1,75.7
0.2854,48.6,52.1
0.2878,32.2,34.3
0.2881,30.3,33.1
0.2897,17.2,25.6
0.2932,9.4,9.3
0.294,7.6,7
0.2961,-1,0.9
0.2964,-0.9,0.1
0.3015,-0.00105803,0.1
0.4152,-0.02,-0.02
0.4156,-6.3,-0.02
0.4172,-31.6,76.1
0.4184,-45.9,133.2
0.4197,-61,196.6
0.4208,-72.4,247.4
0.422,-85.2,304.5
0.4231,-96.9,355.2
0.4246,-108.2,425
0.4252,-120.3,456.7
0.4254,-122.8,464.2
0.4259,-133.3,494.1
0.4272,-142.4,568.8
0.4282,-153.8,621.1
0.4305,-160.9,748.1
0.4338,-158.7,934.9
0.4344,-156.6,964.7
0.436,-150.3,990.9
0.4362,-149.3,990.6
0.4376,-140.2,988.7
0.4392,-132.3,986.4
0.4395,-131,980.7
0.4403,-128.7,963.6
0.4426,-122.2,904.9
0.4456,-118.2,825.5
0.4489,-115.4,742.6
0.4523,-112.8,652.8
0.4532,-109.3,632.1
0.4541,-105.2,612.6
0.4558,-93.8,576.3
0.4569,-84.4,572
0.4601,-66.9,559.2
0.4612,-61,558.4
0.4617,-45.1,558.1
0.4634,-31.9,556.9
0.4636,-29.7,557
0.4644,-15.5,557.4
0.466,-1.8,558
0.4666,-0.09,558
0.4671,14.1,558
0.4687,33.5,558
0.4706,45.5,545.5
0.4719,58.6,536.6
0.4725,62.7,533
0.4736,71.1,515.9
0.4741,81.9,504.3
0.4779,92.2,422.9
0.48,100.7,376.5
0.4843,104.1,283.5
0.487,101.1,225.4
0.4883,99.5,201.3
0.4902,89.9,167.6
0.4929,74.5,119.5
0.4961,61.9,84.3
0.498,47.7,63.7
0.4983,45.7,60.8
0.5001,31.8,46.8
0.5026,16.9,28.8
0.5034,8.4,22.7
0.505,-0.1,10.7
0.5066,-0.08,-1.3
0.5083,-0.01,-1.3
0.6267,-0.04,-0.3
0.6268,-1.9,-0.3
0.6285,-24.2,56.9
0.6303,-35.1,123.6
0.6317,-45.9,171.2
0.6328,-56.1,209.4
0.6336,-69.2,238
0.6344,-81.8,266.6
0.636,-93.7,323.8
0.6368,-105.1,352.4
0.6381,-114.2,400
0.6397,-129.1,457.2
0.6419,-139.9,533.5
0.6421,-140.6,543
0.644,-145.6,643.4
0.6467,-143.9,787
0.6478,-141,844.4
0.6497,-134.8,944.8
0.6502,-130.4,973.5
0.6513,-121.7,986.3
0.6526,-109.1,1002.2
0.6529,-103.7,1005.4
0.6532,-98.3,1004.6
0.6558,-88.6,996
0.6561,-87.7,995.2
0.6577,-82.4,956.4
0.6612,-78.4,872.4
0.6647,-74.4,788.4
0.6679,-67.6,710.8
0.6701,-55.9,659.1
0.6703,-54.5,656.3
0.6719,-42,639.4
0.6738,-30.6,619.8
0.6752,-20.9,605.7
0.6762,-11.2,594.4
0.6776,1.9,580.4
0.6778,0.03,578.3
0.6787,10.8,569.1
0.6797,24.1,561.8
0.6821,39.5,545.2
0.6836,54,535.1
0.6856,67.9,521.3
0.6858,68.8,519.4
0.6877,81.9,493.2
0.6894,90.7,468.9
0.6898,92.7,460
0.6933,100.7,382.6
0.6969,100.1,302.3
0.6995,94.7,245.7
0.7017,84.1,195.1
0.7035,71.6,156.5
0.705,63.8,123.7
0.7059,58.8,105.8
0.7079,44.8,67.3
0.7082,43,62.2
0.7097,32.9,52.3
0.7128,18.9,31.4
0.7153,8.1,14.3
0.7173,0.08,0.7
0.7174,-0.5,0.5
0.7189,-0.1,-1
0.7193,-0.03,-1
0.7995,0.000669676,-1.1
0.7997,0.000382235,-1.1
0.8399,-0.06,-0.06
0.84,-0.06,-0.06
