x,HGRF,VGRF
0,-0.0013089,-0.2
0.0007,-0.0013089,-0.2
0.0685,-0.01,0.3
0.0693,-8.4,0.4
0.0701,-17.7,16.9
0.0742,-36.7,96.3
0.0752,-55.2,116.1
0.0768,-70.4,149.2
0.0779,-76.8,169
0.0792,-85.5,225.1
0.0805,-101.6,281.2
0.0829,-113.8,379.4
0.0856,-120.1,491.6
0.0866,-116.8,533.7
0.0893,-107.9,647.2
0.0913,-87,732.3
0.0933,-72,817.5
0.0943,-64.5,849.6
0.0946,-62.1,860.4
0.0963,-49.9,856.3
0.098,-40.7,852.2
0.0987,-39.8,850.6
0.101,-36.8,823
0.1084,-34.8,736.1
0.1121,-29.5,692.6
0.1124,-29,687.6
0.1154,-1.7,642.6
0.1161,-0.1,632.6
0.1174,12.3,612.6
0.1188,24.6,599.5
0.1225,58.3,563.3
0.1228,61.3,560
0.1252,82.6,537.8
0.1282,99.8,509.3
0.1289,103.6,499.5
0.1319,112.9,455.6
0.1359,115.3,397.1
0.1362,114.8,392.2
0.1416,107.5,247.9
0.1443,99.1,175.7
0.146,93.8,151.3
0.1493,71.9,102.6
0.151,62.1,78.2
0.1527,52.4,65.6
0.156,33.8,40.4
0.1591,16.3,17.7
0.1611,1.1,8
0.1631,0.7,-1.8
0.1662,0.04,-1.7
0.2745,-0.05,-0.05
0.2782,-32.7,53.6
0.2815,-63,102.3
0.2826,-73.2,117
0.2836,-83.4,163.8
0.2852,-108.3,241.8
0.2869,-120.5,319.8
0.2886,-127.8,397.8
0.2919,-124.9,553.8
0.2946,-108.8,803.4
0.296,-96.8,858.5
0.2966,-90.8,864.8
0.2983,-78.2,880.5
0.299,-73.2,880.2
0.3013,-59.1,879.1
0.3017,-58.4,879
0.3054,-50.8,812.5
0.3094,-47.7,740
0.3111,-46.4,712.5
0.3144,-39.1,657.6
0.3168,-25,632.9
0.3201,-8.5,597.6
0.3211,-3.6,592.4
0.3215,-0.1,590.7
0.3238,28.1,578.5
0.3248,37.6,573.2
0.3268,56.4,561.5
0.3282,70.3,553.7
0.3302,91,535.6
0.3315,99.7,523.5
0.3332,110.5,489.1
0.3352,121.2,447.9
0.3389,123.1,372.3
0.3409,124.2,328.1
0.346,114.9,217.5
0.349,99.3,151.1
0.3497,94.5,136.3
0.3517,80.3,112.9
0.355,61.1,73.9
0.356,55.4,66.6
0.3604,33.4,34.9
0.3617,26.9,25.1
0.3641,15.4,19.3
0.3701,0.3,4.2
0.3711,0.2,1.7
0.3738,0.00229058,1.7
0.4876,0.02,-0.5
0.4879,-2.6,-0.5
0.4923,-36.6,75.6
0.4933,-46,93.1
0.496,-71.2,191.6
0.4983,-94.1,277.8
0.5007,-115.6,364
0.5027,-128.7,437.8
0.504,-127.5,487.1
0.5064,-125.3,586
0.5097,-111.2,727.4
0.5121,-92.8,826.4
0.5124,-90.2,833
0.5148,-69.3,879.1
0.5151,-66.3,878.4
0.5168,-54.2,875.2
0.5188,-51.2,871.2
0.5218,-46.8,830.3
0.5275,-43.4,752.9
0.5305,-35.2,712
0.5336,-16.2,671
0.5354,0.05,646
0.5366,14.1,630
0.5389,34.2,598.2
0.5403,45.8,578.7
0.5433,69.2,534.8
0.5463,89.6,490.9
0.547,92.9,481.1
0.5483,99.4,454.3
0.5517,107.2,387.1
0.5564,105.2,293
0.5591,98.2,239.3
0.5611,93,205
0.5648,76.9,142.2
0.5668,60.3,107.9
0.5685,50.8,79.3
0.5698,43.3,63.1
0.5725,29.1,30.6
0.5735,23.7,26.7
0.5768,7.7,13.7
0.5782,-1.1,8.5
0.5805,-0.5,-0.6
0.5821,-0.04,-0.6
0.6882,-0.0013089,-0.9
0.6906,-14.7,-0.9
0.6943,-36.9,90.3
0.697,-68.6,156.6
0.6987,-89.5,198.1
0.7,-106.2,250.3
0.702,-121.3,328.6
0.7047,-133.5,433
0.7081,-125.7,563.6
0.7097,-109.1,628.9
0.7107,-101.1,668
0.7134,-79.6,822.1
0.7138,-77,822.2
0.7158,-53.6,823
0.7188,-43.5,824
0.7191,-42.4,819.7
0.7268,-38.5,718.7
0.7295,-33.1,683.6
0.7319,-18,652.9
0.7351,0.03,611.2
0.7352,4.4,609
0.7376,19.3,578.3
0.7389,27.8,564.6
0.7423,56.1,530.5
0.743,61.9,523.7
0.745,79.5,501.5
0.7473,97.5,475.7
0.749,105.8,457.2
0.7523,110.2,420.3
0.7527,110.7,412.8
0.7584,103.3,285.3
0.7617,89.7,210.4
0.7631,82.2,180.4
0.7641,76.5,158.4
0.7664,59.5,107.2
0.7685,50,63.3
0.7708,39,53.1
0.7732,25.3,42.9
0.7782,9.7,20.9
0.7792,5.7,16.5
0.7809,-1,11.6
0.7829,0.06,5.8
0.7846,0.06,0.9
0.8871,-0.02,-1.2
0.8879,-6.6,-1.2
0.893,-46.1,103.3
0.8956,-74.4,159.1
0.898,-100.2,207.9
0.9003,-118.3,256.7
0.9013,-125.6,277.6
0.902,-130.5,309.8
0.904,-133.4,406.3
0.907,-126.1,551.1
0.9094,-110,663.8
0.9111,-88.6,707
0.9138,-66.1,776.3
0.9148,-58.6,802.2
0.9161,-48.6,816.8
0.9174,-39.8,831.5
0.9181,-35.4,823.8
0.9245,-25.2,750.8
0.9282,-17.2,708.6
0.9285,-16.4,704.3
0.9312,-1.3,670.1
0.9319,0.01,661.5
0.9356,26.5,614.4
0.9403,62,554.5
0.9443,89.3,510.2
0.948,103.5,469.6
0.9497,106.6,451.1
0.9517,110.3,406.6
0.9584,105.9,258.1
0.9617,94.3,183.9
0.9628,90.8,167.5
0.9658,70.8,118.4
0.9685,53.2,74.7
0.9691,48.8,69.5
0.9742,28.3,30.8
0.9775,7.4,5.1
0.9779,4.9,2.5
0.9789,-2.4,2.4
0.9812,0.04,2.1
0.994,0.01,0.5
0.9998,0.000327226,0.5
1.1141,0.02,-0.2
1.1143,0.02,-0.2
